Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17986414,The Metamorphosis,Franz Kafka,"Kafka, Franz","Susan Bernofsky, David Cronenberg",393347095,9.78039E+12,3,3.84,W. W. Norton & Company,Paperback,126,2014,1915,24/06/2022,24/06/2022,,,read,,,,1,0
53317427,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,125031321X,9.78125E+12,5,4.29,Tordotcom,Paperback,507,2021,2020,12/06/2022,28/05/2022,favourites,favourites (#13),read,,,,1,0
4673255,The Dust of Ages (Doctor Who: The Darksmith Legacy #1),Justin Richards,"Richards, Justin",,1405905131,9.78141E+12,4,3.37,BBC Childrens Books,Paperback,118,2009,2009,21/06/2022,21/06/2022,,,read,Big fan of the puzzles,,,1,0
18658663,Under The Jaguar Sun,Italo Calvino,"Calvino, Italo",William Weaver,,,3,3.78,Penguin Modern Classics,Paperback,87,2009,1986,19/06/2022,18/06/2022,,,read,,,,1,0
58662978,"As Yet Unsent (The Locked Tomb, #2.5)",Tamsyn Muir,"Muir, Tamsyn",,,,4,4.43,Tor.com,ebook,24,2022,2021,16/06/2022,16/06/2022,,,read,,,,1,0
58254061,Elektra,Jennifer Saint,"Saint, Jennifer",,1472273915,9.78147E+12,4,3.75,Wildfire,Hardcover,341,2022,2022,15/06/2022,12/06/2022,,,read,,,,1,0
57089633,Safety in Numbers,Roger McGough,"McGough, Roger",,241517354,9.78024E+12,3,3.55,Viking,Paperback,112,2021,,06/06/2022,06/06/2022,,,read,,,,1,0
40654428,The Handmaid's Tale: The Graphic Novel,Renée Nault,"Nault, Renée",Margaret Atwood,224101935,9.78022E+12,4,4.22,Jonathan Cape,Hardcover,240,2019,2019,28/05/2022,28/05/2022,,,read,,,,1,0
58906388,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,9780571315,,5,3.55,Faber & Faber,Paperback,362,2015,2015,26/05/2022,14/05/2022,,,read,,,,1,0
41713586,Cosmopolitan,Akhil Sharma,"Sharma, Akhil",,571351786,9.78057E+12,2,3.35,Faber & Faber,Paperback,49,2019,,22/05/2022,22/05/2022,,,read,,,,1,0
152893,Death and the Penguin,Andrey Kurkov,"Kurkov, Andrey",George Bird,1860469450,9.78186E+12,3,3.81,Vintage,Paperback,228,2002,1996,13/05/2022,12/05/2022,,,read,,,,1,0
52382797,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,125031318X,9.78125E+12,5,4.23,Tor,Paperback,496,2020,2019,12/05/2022,04/05/2022,,,read,,,,1,0
22934770,A Room of One's Own,Virginia Woolf,"Woolf, Virginia",,141395923,9.78014E+12,5,4.2,Penguin Classics,Hardcover,138,2014,1928,04/05/2022,01/05/2022,,,read,,,,1,0
45180783,Sincerity,Carol Ann Duffy,"Duffy, Carol Ann",,1509893458,9.78151E+12,3,3.73,Picador,Paperback,96,2020,,29/04/2022,29/04/2022,,,read,,,,1,0
24952901,Smith of Wootton Major: Extended Edition,J.R.R. Tolkien,"Tolkien, J.R.R.","Verlyn Flieger, Pauline Baynes",7557280,9.78001E+12,4,3.91,Harper Collins Publishers Ltd,Hardcover,209,2005,1967,27/04/2022,27/04/2022,,,read,,,,1,0
57588150,The Giant Dark,Sarvat Hasin,"Hasin, Sarvat",,349701741,9.78035E+12,3,3.82,Dialogue Books,Hardcover,368,2021,2021,27/04/2022,20/04/2022,,,read,,,,1,0
4772110,Nocturnes: Five Stories of Music and Nightfall,Kazuo Ishiguro,"Ishiguro, Kazuo",,307397874,9.78031E+12,3,3.5,Knopf Canada,Hardcover,221,2009,2009,19/04/2022,18/04/2022,,,read,,,,1,0
54822192,Our Wives Under the Sea,Julia Armfield,"Armfield, Julia",,1529017238,9.78153E+12,4,3.91,Picador,Hardcover,240,2022,2022,18/04/2022,15/04/2022,,,read,,,,1,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,1786071959,9.78179E+12,5,4.07,Oneworld Publications,Paperback,213,2017,2013,15/04/2022,14/04/2022,,,read,,,,1,0
53404189,The Raptures,Jan Carson,"Carson, Jan",,857525751,9.78086E+12,5,3.93,Doubleday,Hardcover,336,2022,,13/04/2022,11/04/2022,favourites,favourites (#12),read,,,,1,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"Chambers, Becky",,,,4,4.3,Tordotcom,Kindle Edition,160,2021,2021,11/04/2022,10/04/2022,,,read,,,,1,0
40910448,The Iliad,Gareth Hinds,"Hinds, Gareth",,076368113X,9.78076E+12,4,3.94,Candlewick Press,Hardcover,272,2019,2019,10/04/2022,10/04/2022,,,read,,,,1,0
58625999,City of Ruins,S.E. Lister,"Lister, S.E.",,,9.78191E+12,2,3.91,Old Street Publishing,Paperback,308,2021,,09/04/2022,05/04/2022,,,read,,,,1,0
10317124,Less Than Zero,Bret Easton Ellis,"Ellis, Bret Easton",,330539329,9.78033E+12,3,3.6,Picador USA,Paperback,195,2011,1985,04/04/2022,01/04/2022,,,read,,,,1,0
53052855,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1982147660,9.78198E+12,5,4.46,Simon & Schuster,Paperback,385,2020,2017,31/03/2022,25/03/2022,,,read,,,,1,0
55358681,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,,9.78153E+12,5,4.32,Picador,Paperback,430,2020,2020,23/03/2022,18/03/2022,favourites,favourites (#11),read,,,,1,0
41713590,Paradise,Edna O'Brien,"O'Brien, Edna",,057135176X,9.78057E+12,3,3.46,Faber & Faber,Paperback,62,2019,,24/03/2022,24/03/2022,,,read,,,,1,0
7989499,The Odyssey: A Graphic Novel,Gareth Hinds,"Hinds, Gareth",Homer,763642665,9.78076E+12,4,3.92,Candlewick,Hardcover,256,2010,2010,23/03/2022,23/03/2022,,,read,,,,1,0
11538738,Into the War,Italo Calvino,"Calvino, Italo",Martin L. McLaughlin,141193735,9.78014E+12,4,3.53,Penguin Classics,Paperback,109,2011,1954,17/03/2022,17/03/2022,,,read,,,,1,0
58748511,A Pale View of Hills,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,5,3.78,Faber & Faber,Paperback,183,2021,1982,16/03/2022,14/03/2022,,,read,,,,1,0
39789318,The People in the Trees,Hanya Yanagihara,"Yanagihara, Hanya",,1509892982,9.78151E+12,4,3.73,Picador,Paperback,362,2018,2013,22/06/2021,13/06/2021,,,read,,,,1,0
56500089,All the Young Dudes,MsKingBean89,"MsKingBean89, MsKingBean89",,,,5,4.8,Archive of Our Own,ebook,1799,2018,2018,01/03/2021,06/05/2021,favourites,favourites (#10),read,,,,1,0
54822802,"The Galaxy, and the Ground Within (Wayfarers, #4)",Becky  Chambers,"Chambers, Becky",,1473647673,9.78147E+12,5,4.42,Hodder & Stoughton,Paperback,336,2021,2021,13/03/2022,08/03/2022,favourites,favourites (#9),read,,,,1,0
18162954,Galatea,Madeline Miller,"Miller, Madeline",,,,3,3.93,Bloomsbury Paperbacks,Kindle Edition,20,2013,2013,14/03/2022,14/03/2022,,,read,,,,1,0
51159492,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,375715339,9.78038E+12,5,3.75,Pantheon Books,Paperback,291,2019,1994,07/03/2022,03/03/2022,favourites,favourites (#8),read,,,,1,0
41713584,A River in Egypt,David Means,"Means, David",,571352499,9.78057E+12,2,3.02,Faber & Faber,Paperback,34,2019,,08/03/2022,08/03/2022,,,read,,,,1,0
